id,name,faction,image,term,source,district__hy,party__hy,faction__hy,name__hy,district__ru,party__ru,faction__ru,name__ru,area,birth_date,party,email,name__en
47,Alyosha G. Gabrielyan,"""Dashnaktsutyun"" Faction",http://nankr.am/images/deputy/55e06d0093375.png,6,http://nankr.am/deputy/47/,Համամասնական,Հայ Հեղափոխական դաշնակցություն (ՀՅԴ),«Դաշնակցություն» խմբակցություն,Գաբրիելյան Ալյոշա Գրիգորիի,Пропорциональная,"АРФ ""Дашнакцутюн""","Фракция ""Дашнакцутюн""",Габриелян Алёша Григорьевич,Proportional,1948-01-01,Armenian Revolutionary Federation (ARF),"",Alyosha G. Gabrielyan
17,Zhanna G. Galstyan,"""Democracy"" Faction",http://nankr.am/images/deputy/55dc43e0eeb4f.jpg,6,http://nankr.am/deputy/17/,Համամասնական,"",«Ժողովրդավարություն» խմբակցություն,Գալստյան Ժաննա Գեորգիի,Пропорциональная,"","Фракция ""Демократия""",Галстян Жанна Георгиевна,Proportional,1948-04-15,"",zhgalstyan@nankr.am,Zhanna G. Galstyan
20,Aram A. Grigoryan,"""Motherland"" Faction",http://nankr.am/images/deputy/55b612751c8b1.jpg,6,http://nankr.am/deputy/20/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Գրիգորյան Արամ Արամայիսի,Пропорциональная,"""Свободная родина""","Фракция ""Родина""",Григорян Арам Арамаисович,Proportional,1977-09-27,"""Free Motherland""",agrigoryan@nankr.am,Aram A. Grigoryan
22,Ramela N. Dadayan,"""Motherland"" Faction (Faction Secretary)",http://nankr.am/images/deputy/55e071664b37a.png,6,http://nankr.am/deputy/22/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն (Խմբակցության քարտուղար),Դադայան Ռամելա Նիկոլայի,Пропорциональная,"""Свободная родина""","Фракция ""Родина"" (Секретарь фракции)",Дадаян Рамела Николаевна,Proportional,1951-10-22,"""Free Motherland""",rdadayan@nankr.am,Ramela N. Dadayan
25,Arthur B. Tovmasyan,"""Motherland"" Faction (Faction Leader)",http://nankr.am/images/deputy/55e06f5664d1b.png,6,http://nankr.am/deputy/25/,"Մեծամասնական, 9",«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն (Խմբակցության ղեկավար),Թովմասյան Արթուր Բաբկենի,"Мажоритарная, 9","""Свободная родина""","Фракция ""Родина"" (Руководитель фракции)",Товмасян Артур Бабкенович,"Majority, 9",1962-12-02,"""Free Motherland""",atovmasyan@nankr.am,Arthur B. Tovmasyan
44,David R. Ishkhanyan,"""Dashnaktsutyun"" Faction (Faction Leader)",http://nankr.am/images/deputy/55e073710f751.png,6,http://nankr.am/deputy/44/,"Մեծամասնական, 8",Հայ Հեղափոխական դաշնակցություն (ՀՅԴ),«Դաշնակցություն» խմբակցություն (Խմբակցության ղեկավար),Իշխանյան Դավիթ Ռուբենի,"Мажоритарная, 8","АРФ ""Дашнакцутюн""","Фракция ""Дашнакцутюн"" (Руководитель фракции)",Ишханян Давид Рубенович,"Majority, 8",1968-12-27,Armenian Revolutionary Federation (ARF),"",David R. Ishkhanyan
21,Ruslan E. Israelyan,"""Motherland"" Faction",http://nankr.am/images/deputy/55e070d8151cf.png,6,http://nankr.am/deputy/21/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Իսրայելյան Ռուսլան Էդուարդի,Пропорциональная,"""Свободная родина""","Фракция ""Родина""",Исраелян Руслан Эдуардович,Proportional,1961-10-19,"""Free Motherland""",risraelyan@nankr.am,Ruslan E. Israelyan
42,Hayk R. Khanumyan,"""Renaissance"" Faction (Faction Leader)",http://nankr.am/images/deputy/55e07231c7625.png,6,http://nankr.am/deputy/42/,Համամասնական,«Ազգային վերածնունդ» (ԱՎԿ),«Վերածնունդ» խմբակցություն (Խմբակցության ղեկավար),Խանումյան Հայկ Ռուբենի,Пропорциональная,"""Национальное возрождение""","Фракция ""Возрождение"" (Руководитель фракции)",Ханумян Айк Рубенович,Proportional,1984-09-12,"""National Renaissance""",hkhanumyan@nankr.am,Hayk R. Khanumyan
50,Armo M. Tsatryan,"""Democracy"" Faction",http://nankr.am/images/deputy/55e06ee14be90.png,6,http://nankr.am/deputy/50/,"Մեծամասնական, 11",Արցախի ժողովրդավարական կուսակցություն (ԱԺԿ),«Ժողովրդավարություն» խմբակցություն,Ծատրյան Արմո Մարդիի,"Мажоритарная, 11",Демократическая партия Арцаха (ДПА),"Фракция ""Демократия""",Цатурян Армо Мардиевич,"Majority, 11",1947-03-25,Democratic Party of Artsakh (DPA),"",Armo M. Tsatryan
53,Grigory I. Kasparyan,"""Motherland"" Faction",http://nankr.am/images/deputy/55e0739a0d562.png,6,http://nankr.am/deputy/53/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Կասպարյան Գրիգորի Իսակի,Пропорциональная,"""Свободная родина""","Фракция ""Родина""",Каспарян Григорий Исакович,Proportional,1948-10-11,"""Free Motherland""","",Grigory I. Kasparyan
54,Sergey S. Harutyunyan,"""Motherland"" Faction",http://nankr.am/images/deputy/55e07095b8789.png,6,http://nankr.am/deputy/54/,"Մեծամասնական, 7",«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Հարությունյան Սերգեյ Սյոմիկի,"Мажоритарная, 7","""Свободная родина""","Фракция ""Родина""",Арутюнян Сергей Сёмикович,"Majority, 7",1976-03-22,"""Free Motherland""","",Sergey S. Harutyunyan
4,Rudik L. Hyusnunts,"""Motherland"" Faction",http://nankr.am/images/deputy/55b23a6a3678d.jpg,6,http://nankr.am/deputy/4/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Հյուսնունց Ռուդիկ Լևոնի,Пропорциональная,"""Свободная родина""","Фракция ""Родина""",Уснунц Рудик Левонович,Proportional,1963-09-26,"""Free Motherland""",rhyusnunts@nankr.am,Rudik L. Hyusnunts
46,Lernik L. Hovhannisyan,"""Dashnaktsutyun"" Faction",http://nankr.am/images/deputy/55e071a055b8c.png,6,http://nankr.am/deputy/46/,"Մեծամասնական, 10",Հայ Հեղափոխական դաշնակցություն (ՀՅԴ),«Դաշնակցություն» խմբակցություն,Հովհաննիսյան Լեռնիկ Լենտրուշի,"Мажоритарная, 10","АРФ ""Дашнакцутюн""","Фракция ""Дашнакцутюн""",Ованнисян Лерник Лентрушевич,"Majority, 10",1973-07-24,Armenian Revolutionary Federation (ARF),"",Lernik L. Hovhannisyan
56,Robert E. Ghahramanyan,"""Motherland"" Faction",http://nankr.am/images/deputy/55e07100e4f47.png,6,http://nankr.am/deputy/56/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Ղահրամանյան Ռոբերտ Էդիկի,Пропорциональная,"""Свободная родина""","Фракция ""Родина""",Каграманян Роберт Эдикович,Proportional,1971-06-11,"""Free Motherland""","",Robert E. Ghahramanyan
43,David H. Melkumyan,"""Democracy"" Faction",http://nankr.am/images/deputy/55e0731ad2258.png,6,http://nankr.am/deputy/43/,"Մեծամասնական, 1",Արցախի ժողովրդավարական կուսակցություն (ԱԺԿ),«Ժողովրդավարություն» խմբակցություն,Մելքումյան Դավիթ Հայկի,"Мажоритарная, 1",Демократическая партия Арцаха (ДПА),"Фракция ""Демократия""",Мелкумян Давид Айкович,"Majority, 1",1980-10-29,Democratic Party of Artsakh (DPA),dmelkumyan@nankr.am,David H. Melkumyan
49,Arzik M. Mkhitaryan,"""Motherland"" Faction",http://nankr.am/images/deputy/55e06f8447559.png,6,http://nankr.am/deputy/49/,"Մեծամասնական, 3",«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Մխիթարյան Արզիկ Մարտիրոսի,"Мажоритарная, 3","""Свободная родина""","Фракция ""Родина""",Мхитарян Арзик Мартиросовна,"Majority, 3",1946-11-06,"""Free Motherland""","",Arzik M. Mkhitaryan
45,Rita M. Mnatsakanyan,"""Dashnaktsutyun"" Faction (Faction Secretary)",http://nankr.am/images/deputy/55e071300138b.png,6,http://nankr.am/deputy/45/,Համամասնական,Հայ Հեղափոխական դաշնակցություն (ՀՅԴ),«Դաշնակցություն» խմբակցություն (Խմբակցության քարտուղար),Մնացականյան Ռիտա Միքայելի,Пропорциональная,"АРФ ""Дашнакцутюн""","Фракция ""Дашнакцутюн"" (Секретарь фракции)",Мнацаканян Рита Михайловна,Proportional,1958-03-21,Armenian Revolutionary Federation (ARF),"",Rita M. Mnatsakanyan
5,Vardges A. Ulubabyan,"""Motherland"" Faction",http://nankr.am/images/deputy/55e06ff4dc49d.png,6,http://nankr.am/deputy/5/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Ուլուբաբյան Վարդգես Աշոտի,Пропорциональная,"""Свободная родина""","Фракция ""Родина""",Улубабян Вардгес Ашотович,Proportional,1963-11-08,"""Free Motherland""",vulubabyan@nankr.am,Vardges A. Ulubabyan
48,Georgy M. Petrosyan,"""Dashnaktsutyun"" Faction",http://nankr.am/images/deputy/55b2333d06570.jpg,6,http://nankr.am/deputy/48/,Համամասնական,Հայ Հեղափոխական դաշնակցություն (ՀՅԴ),«Դաշնակցություն» խմբակցություն,Պետրոսյան Գեորգի Միքայելի,Пропорциональная,"АРФ ""Дашнакцутюн""","Фракция ""Дашнакцутюн""",Петросян Георгий Михайлович,Proportional,1953-01-10,Armenian Revolutionary Federation (ARF),"",Georgy M. Petrosyan
8,Gagik R. Petrosyan,"""Motherland"" Faction",http://nankr.am/images/deputy/55b2303a4ddb9.jpg,6,http://nankr.am/deputy/8/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Պետրոսյան Գագիկ Ռազմիկի,Пропорциональная,"""Свободная родина""","Фракция ""Родина""",Петросян Гагик Размикович,Proportional,1973-03-10,"""Free Motherland""",gpetrosyan@nankr.am,Gagik R. Petrosyan
38,Hovik Kh. Jivanyan,"""Motherland"" Faction",http://nankr.am/images/deputy/55e071f8b5100.png,6,http://nankr.am/deputy/38/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Ջիվանյան Հովիկ Խանլարի,Пропорциональная,"""Свободная родина""","Фракция ""Родина""",Дживанян Овик Ханларович,Proportional,1972-01-06,"""Free Motherland""",hjivanyan@nankr.am,Hovik Kh. Jivanyan
6,Armen T. Sargsyan,"""Dashnaktsutyun"" Faction",http://nankr.am/images/deputy/55e06f0e99d97.png,6,http://nankr.am/deputy/6/,Համամասնական,Հայ Հեղափոխական դաշնակցություն (ՀՅԴ),«Դաշնակցություն» խմբակցություն,Սարգսյան Արմեն Թեմուրի,Пропорциональная,"АРФ ""Дашнакцутюн""","Фракция ""Дашнакцутюн""",Саргсян Армен Тимурович,Proportional,1963-01-02,Armenian Revolutionary Federation (ARF),asargsyan@nankr.am,Armen T. Sargsyan
33,Ararat A. Ohandjanyan,"""Motherland"" Faction",http://nankr.am/images/deputy/55e06d48a9615.png,6,http://nankr.am/deputy/33/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Օհանջանյան Արարատ Արամայիսի,Пропорциональная,"""Свободная родина""","Фракция ""Родина""",Оганджанян Арарат Арамаисович,Proportional,1968-05-29,"""Free Motherland""",aohanjanyan@nankr.am,Ararat A. Ohandjanyan
