id,name,sort_name,district,mandate_start,mandate_end,party,term,source,image,phone,email,end_date
gbidegain,GLORIA MERCEDES BIDEGAIN,"BIDEGAIN, GLORIA MERCEDES",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/gbidegain/,http://www4.hcdn.gob.ar/fotos/gbidegain.jpg,4127-7100,gbidegain@diputados.gob.ar,2015-12-09
bbiellac,BERNARDO JOSE BIELLA CALVET,"BIELLA CALVET, BERNARDO JOSE",SALTA,2011-12-10,2015-12-09,UDESO SALTA,133,http://www.hcdn.gob.ar/diputados/bbiellac/,http://www4.hcdn.gob.ar/fotos/bbiellac.jpg,4127-7100,bbiellac@diputados.gob.ar,2015-12-09
hbinner,HERMES JUAN BINNER,"BINNER, HERMES JUAN",SANTA FE,2013-12-10,2017-12-09,PARTIDO SOCIALISTA,133,http://www.hcdn.gob.ar/diputados/hbinner/,http://www4.hcdn.gob.ar/fotos/hbinner.jpg,4127-7100,hbinner@diputados.gob.ar,
gboyadjian,GRACIELA EUNICE BOYADJIAN,"BOYADJIAN, GRACIELA EUNICE",TIERRA DEL FUEGO,2011-12-10,2015-12-09,MOV POP FUEGUINO,133,http://www.hcdn.gob.ar/diputados/gboyadjian/,http://www4.hcdn.gob.ar/fotos/gboyadjian.jpg,4127-7100,gboyadjian@diputados.gob.ar,2015-12-09
mbrawer,MARA BRAWER,"BRAWER, MARA",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mbrawer/,http://www4.hcdn.gob.ar/fotos/mbrawer.jpg,4127-7100,mbrawer@diputados.gob.ar,2015-12-09
mbregman,MYRIAM BREGMAN,"BREGMAN, MYRIAM",BUENOS AIRES,2013-12-10,2017-12-09,PTS - FRENTE DE IZQUIERDA,133,http://www.hcdn.gob.ar/diputados/mbregman/,http://www4.hcdn.gob.ar/fotos/mbregman.jpg,4127-7100,mbregman@diputados.gob.ar,
ebrizueladelmoral,EDUARDO SEGUNDO BRIZUELA DEL MORAL,"BRIZUELA DEL MORAL, EDUARDO SEGUNDO",CATAMARCA,2013-12-10,2017-12-09,FRENTE CIVICO Y SOCIAL DE CATAMARCA,133,http://www.hcdn.gob.ar/diputados/ebrizueladelmoral/,http://www4.hcdn.gob.ar/fotos/ebrizueladelmoral.jpg,4127-7100,ebrizueladelmoral@diputados.gob.ar,
ibromberg,ISAAC BENJAMIN BROMBERG,"BROMBERG, ISAAC BENJAMIN",TUCUMAN,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/ibromberg/,http://www4.hcdn.gob.ar/fotos/ibromberg.jpg,4127-7100,ibromberg@diputados.gob.ar,2015-12-09
cbrown,CARLOS RAMON BROWN,"BROWN, CARLOS RAMON",BUENOS AIRES,2011-12-10,2015-12-09,FE,133,http://www.hcdn.gob.ar/diputados/cbrown/,http://www4.hcdn.gob.ar/fotos/cbrown.jpg,4127-7100,cbrown@diputados.gob.ar,2015-12-09
pbullrich,PATRICIA BULLRICH,"BULLRICH, PATRICIA",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/pbullrich/,http://www4.hcdn.gob.ar/fotos/pbullrich.jpg,4127-7100,pbullrich@diputados.gob.ar,2015-12-09
mburgos,MARIA GABRIELA BURGOS,"BURGOS, MARIA GABRIELA",JUJUY,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/mburgos/,http://www4.hcdn.gob.ar/fotos/mburgos.jpg,4127-7100,mburgos@diputados.gob.ar,
rburyaile,RICARDO BURYAILE,"BURYAILE, RICARDO",FORMOSA,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/rburyaile/,http://www4.hcdn.gob.ar/fotos/rburyaile.jpg,4127-7100,rburyaile@diputados.gob.ar,
jcabandie,JUAN CABANDIE,"CABANDIE, JUAN",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jcabandie/,http://www4.hcdn.gob.ar/fotos/jcabandie.jpg,4127-7100,jcabandie@diputados.gob.ar,
ecaceres,EDUARDO AUGUSTO CACERES,"CACERES, EDUARDO AUGUSTO",SAN JUAN,2013-12-10,2017-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/ecaceres/,http://www4.hcdn.gob.ar/fotos/ecaceres.jpg,4127-7100,ecaceres@diputados.gob.ar,
ecalcagno,ERIC CALCAGNO Y MAILLMANN,"CALCAGNO Y MAILLMANN, ERIC",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/ecalcagno/,http://www4.hcdn.gob.ar/fotos/ecalcagno.jpg,4952-1357,ecalcagno@diputados.gob.ar,2015-12-09
gcamano,GRACIELA CAMAÑO,"CAMAÑO, GRACIELA",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE RENOVADOR,133,http://www.hcdn.gob.ar/diputados/gcamano/,http://www4.hcdn.gob.ar/fotos/gcamano.jpg,4127-7100,gcamano@diputados.gob.ar,2015-12-09
scanela,SUSANA MERCEDES CANELA,"CANELA, SUSANA MERCEDES",SALTA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/scanela/,http://www4.hcdn.gob.ar/fotos/scanela.jpg,4127-7100,scanela@diputados.gob.ar,2015-12-09
jcano,JOSE MANUEL CANO,"CANO, JOSE MANUEL",TUCUMAN,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/jcano/,http://www4.hcdn.gob.ar/fotos/jcano.jpg,4127-7100,jcano@diputados.gob.ar,
rcarlotto,REMO GERARDO CARLOTTO,"CARLOTTO, REMO GERARDO",BUENOS AIRES,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/rcarlotto/,http://www4.hcdn.gob.ar/fotos/rcarlotto.jpg,4127-7100,rcarlotto@diputados.gob.ar,
gcarmona,GUILLERMO RAMON CARMONA,"CARMONA, GUILLERMO RAMON",MENDOZA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/gcarmona/,http://www4.hcdn.gob.ar/fotos/gcarmona.jpg,4127-7100,gcarmona@diputados.gob.ar,2015-12-09
mcarrillo,MARIA DEL CARMEN CARRILLO,"CARRILLO, MARIA DEL CARMEN",TUCUMAN,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mcarrillo/,http://www4.hcdn.gob.ar/fotos/mcarrillo.jpg,4127-7100,mcarrillo@diputados.gob.ar,2015-12-09
ecarrio,ELISA MARIA AVELINA CARRIO,"CARRIO, ELISA MARIA AVELINA",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,COALICION CIVICA ARI - UNEN,133,http://www.hcdn.gob.ar/diputados/ecarrio/,http://www4.hcdn.gob.ar/fotos/ecarrio.jpg,4127-7100,ecarrio@diputados.gob.ar,
mscarrizo,MARIA SOLEDAD CARRIZO,"CARRIZO, MARIA SOLEDAD",CORDOBA,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/mscarrizo/,http://www4.hcdn.gob.ar/fotos/mscarrizo.jpg,4127-7100,mscarrizo@diputados.gob.ar,
ccarrizo,ANA CARLA CARRIZO,"CARRIZO, ANA CARLA",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,SUMA + UNEN,133,http://www.hcdn.gob.ar/diputados/ccarrizo/,http://www4.hcdn.gob.ar/fotos/ccarrizo.jpg,4127-7100,ccarrizo@diputados.gob.ar,
ncarrizo,NILDA MABEL CARRIZO,"CARRIZO, NILDA MABEL",TUCUMAN,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/ncarrizo/,http://www4.hcdn.gob.ar/fotos/ncarrizo.jpg,4127-7100,ncarrizo@diputados.gob.ar,
jcasanas,JUAN FRANCISCO CASAÑAS,"CASAÑAS, JUAN FRANCISCO",TUCUMAN,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/jcasanas/,http://www4.hcdn.gob.ar/fotos/jcasanas.jpg,4127-7100,jcasanas@diputados.gob.ar,
gcaselles,GRACIELA MARIA CASELLES,"CASELLES, GRACIELA MARIA",SAN JUAN,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PARTIDO BLOQUISTA,133,http://www.hcdn.gob.ar/diputados/gcaselles/,http://www4.hcdn.gob.ar/fotos/gcaselles.jpg,4127-7100,gcaselles@diputados.gob.ar,2015-12-09
ccaserio,CARLOS ALBERTO CASERIO,"CASERIO, CARLOS ALBERTO",CORDOBA,2013-12-10,2017-12-09,UNION POR CORDOBA,133,http://www.hcdn.gob.ar/diputados/ccaserio/,http://www4.hcdn.gob.ar/fotos/ccaserio.jpg,4127-7100,ccaserio@diputados.gob.ar,
scastro,SANDRA DANIELA CASTRO,"CASTRO, SANDRA DANIELA",SAN JUAN,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/scastro/,http://www4.hcdn.gob.ar/fotos/scastro.jpg,4127-7100,scastro@diputados.gob.ar,
jcejas,JORGE ALBERTO CEJAS,"CEJAS, JORGE ALBERTO",RIO NEGRO,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jcejas/,http://www4.hcdn.gob.ar/fotos/jcejas.jpg,4127-7100,jcejas@diputados.gob.ar,2015-12-09
aciampini,JOSE ALBERTO CIAMPINI,"CIAMPINI, JOSE ALBERTO",NEUQUEN,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/aciampini/,http://www4.hcdn.gob.ar/fotos/aciampini.jpg,4127-7100,aciampini@diputados.gob.ar,2015-12-09
aciciliani,ALICIA MABEL CICILIANI,"CICILIANI, ALICIA MABEL",SANTA FE,2013-12-10,2017-12-09,PARTIDO SOCIALISTA,133,http://www.hcdn.gob.ar/diputados/aciciliani/,http://www4.hcdn.gob.ar/fotos/aciciliani.jpg,4127-7100,aciciliani@diputados.gob.ar,
lcigogna,LUIS FRANCISCO JORGE CIGOGNA,"CIGOGNA, LUIS FRANCISCO JORGE",BUENOS AIRES,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/lcigogna/,http://www4.hcdn.gob.ar/fotos/lcigogna.jpg,4127-7100,lcigogna@diputados.gob.ar,
mcleri,MARCOS CLERI,"CLERI, MARCOS",SANTA FE,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mcleri/,http://www4.hcdn.gob.ar/fotos/mcleri.jpg,4127-7100,mcleri@diputados.gob.ar,2015-12-09
jcobos,JULIO CESAR CLETO COBOS,"COBOS, JULIO CESAR CLETO",MENDOZA,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/jcobos/,http://www4.hcdn.gob.ar/fotos/jcobos.jpg,4127-7100,jcobos@diputados.gob.ar,
acomelli,ALICIA MARCELA COMELLI,"COMELLI, ALICIA MARCELA",NEUQUEN,2011-12-10,2015-12-09,MOV POP NEUQUINO,133,http://www.hcdn.gob.ar/diputados/acomelli/,http://www4.hcdn.gob.ar/fotos/acomelli.jpg,4127-7100,acomelli@diputados.gob.ar,2015-12-09
dconti,DIANA BEATRIZ CONTI,"CONTI, DIANA BEATRIZ",BUENOS AIRES,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/dconti/,http://www4.hcdn.gob.ar/fotos/dconti.jpg,4127-7100,dconti@diputados.gob.ar,
mcontrera,MONICA GRACIELA CONTRERA,"CONTRERA, MONICA GRACIELA",CHUBUT,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mcontrera/,http://www4.hcdn.gob.ar/fotos/mcontrera.jpg,4127-7100,mcontrera@diputados.gob.ar,2015-12-09
rcortina,ROY CORTINA,"CORTINA, ROY",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,PARTIDO SOCIALISTA,133,http://www.hcdn.gob.ar/diputados/rcortina/,http://www4.hcdn.gob.ar/fotos/rcortina.jpg,4127-7100,rcortina@diputados.gob.ar,2015-12-09
ecosta,EDUARDO RAUL COSTA,"COSTA, EDUARDO RAUL",SANTA CRUZ,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/ecosta/,http://www4.hcdn.gob.ar/fotos/ecosta.jpg,4127-7100,ecosta@diputados.gob.ar,
mcremer,MARIA CRISTINA CREMER DE BUSTI,"CREMER DE BUSTI, MARIA CRISTINA",ENTRE RIOS,2013-12-10,2017-12-09,UNION POR ENTRE RIOS,133,http://www.hcdn.gob.ar/diputados/mcremer/,http://www4.hcdn.gob.ar/fotos/mcremer.jpg,4127-7100,mcremer@diputados.gob.ar,
rcuccovillo,RICARDO OSCAR CUCCOVILLO,"CUCCOVILLO, RICARDO OSCAR",BUENOS AIRES,2011-12-10,2015-12-09,PARTIDO SOCIALISTA,133,http://www.hcdn.gob.ar/diputados/rcuccovillo/,http://www4.hcdn.gob.ar/fotos/rcuccovillo.jpg,4127-7100,rcuccovillo@diputados.gob.ar,2015-12-09
jdagostino,JORGE MARCELO D'AGOSTINO,"D'AGOSTINO, JORGE MARCELO",ENTRE RIOS,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/jdagostino/,http://www4.hcdn.gob.ar/fotos/jdagostino.jpg,4127-7100,jdagostino@diputados.gob.ar,
mdalessandro,MARCELO SILVIO D'ALESSANDRO,"D'ALESSANDRO, MARCELO SILVIO",BUENOS AIRES,2013-12-10,2017-12-09,FRENTE RENOVADOR,133,http://www.hcdn.gob.ar/diputados/mdalessandro/,http://www4.hcdn.gob.ar/fotos/mdalessandro.jpg,4127-7100,mdalessandro@diputados.gob.ar,
hdaer,HECTOR RICARDO DAER,"DAER, HECTOR RICARDO",BUENOS AIRES,2013-12-10,2017-12-09,FRENTE RENOVADOR,133,http://www.hcdn.gob.ar/diputados/hdaer/,http://www4.hcdn.gob.ar/fotos/hdaer.jpg,4127-7100,hdaer@diputados.gob.ar,
mdasneves,MARIO DAS NEVES,"DAS NEVES, MARIO",CHUBUT,2013-12-10,2017-12-09,TRABAJO Y DIGNIDAD,133,http://www.hcdn.gob.ar/diputados/mdasneves/,http://www4.hcdn.gob.ar/fotos/mdasneves.jpg,4127-7100,mdasneves@diputados.gob.ar,
adato,ALFREDO CARLOS DATO,"DATO, ALFREDO CARLOS",TUCUMAN,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/adato/,http://www4.hcdn.gob.ar/fotos/adato.jpg,4127-7100,adato@diputados.gob.ar,2015-12-09
pdeferrarir,PATRICIA DE FERRARI RUEDA,"DE FERRARI RUEDA, PATRICIA",CORDOBA,2011-12-10,2015-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/pdeferrarir/,http://www4.hcdn.gob.ar/fotos/pdeferrarir.jpg,4127-7100,pdeferrarir@diputados.gob.ar,2015-12-09
vdegennaro,VICTOR NORBERTO DE GENNARO,"DE GENNARO, VICTOR NORBERTO",BUENOS AIRES,2011-12-10,2015-12-09,UNIDAD POPULAR,133,http://www.hcdn.gob.ar/diputados/vdegennaro/,http://www4.hcdn.gob.ar/fotos/vdegennaro.jpg,4127-7100,vdegennaro@diputados.gob.ar,2015-12-09
jdemendiguren,JOSE IGNACIO DE MENDIGUREN,"DE MENDIGUREN, JOSE IGNACIO",BUENOS AIRES,2013-12-10,2017-12-09,FRENTE RENOVADOR,133,http://www.hcdn.gob.ar/diputados/jdemendiguren/,http://www4.hcdn.gob.ar/fotos/jdemendiguren.jpg,4127-7100,jdemendiguren@diputados.gob.ar,
fdenarvaez,FRANCISCO DE NARVAEZ,"DE NARVAEZ, FRANCISCO",BUENOS AIRES,2013-12-10,2017-12-09,UNION CELESTE Y BLANCO,133,http://www.hcdn.gob.ar/diputados/fdenarvaez/,http://www4.hcdn.gob.ar/fotos/fdenarvaez.jpg,4127-7100,fdenarvaez@diputados.gob.ar,
ndelcano,NICOLAS DEL CAÑO,"DEL CAÑO, NICOLAS",MENDOZA,2013-12-10,2017-12-09,PTS - FRENTE DE IZQUIERDA,133,http://www.hcdn.gob.ar/diputados/ndelcano/,http://www4.hcdn.gob.ar/fotos/ndelcano.jpg,4127-7100,ndelcano@diputados.gob.ar,
edepetri,EDGARDO FERNANDO DEPETRI,"DEPETRI, EDGARDO FERNANDO",BUENOS AIRES,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/edepetri/,http://www4.hcdn.gob.ar/fotos/edepetri.jpg,4127-7100,edepetri@diputados.gob.ar,
jditullio,JULIANA DI TULLIO,"DI TULLIO, JULIANA",BUENOS AIRES,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jditullio/,http://www4.hcdn.gob.ar/fotos/jditullio.jpg,4127-7100,jditullio@diputados.gob.ar,
jdiaz,JOSE MARIA DIAZ BANCALARI,"DIAZ BANCALARI, JOSE MARIA",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jdiaz/,http://www4.hcdn.gob.ar/fotos/jdiaz.jpg,4127-7100,jdiaz@diputados.gob.ar,2015-12-09
jdiazr,JUAN CARLOS DIAZ ROIG,"DIAZ ROIG, JUAN CARLOS",FORMOSA,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jdiazr/,http://www4.hcdn.gob.ar/fotos/jdiazr.jpg,4127-7100,jdiazr@diputados.gob.ar,
jdominguez,JULIAN ANDRES DOMINGUEZ,"DOMINGUEZ, JULIAN ANDRES",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jdominguez/,http://www4.hcdn.gob.ar/fotos/jdominguez.jpg,4127-7100,jdominguez@diputados.gob.ar,2015-12-09
vdondap,VICTORIA ANALIA DONDA PEREZ,"DONDA PEREZ, VICTORIA ANALIA",BUENOS AIRES,2011-12-10,2015-12-09,LIBRES DEL SUR,133,http://www.hcdn.gob.ar/diputados/vdondap/,http://www4.hcdn.gob.ar/fotos/vdondap.jpg,4127-7100,vdondap@diputados.gob.ar,2015-12-09
cdonkin,CARLOS GUILLERMO DONKIN,"DONKIN, CARLOS GUILLERMO",FORMOSA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/cdonkin/,http://www4.hcdn.gob.ar/fotos/cdonkin.jpg,4127-7100,cdonkin@diputados.gob.ar,2015-12-09
