name,wikiname__nl,group,area,taalgroep,term,source,end_date,start_date,id,sort_name,email,website,image
David Geerts,David Geerts,sp.a,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01127&lactivity=54,,,01127,Geerts David,eb.remaked@streeg.divad,http://www.davidgeerts.be,http://www.lachambre.be/site/wwwroot/images/cv/01127.gif
Jan Jambon,Jan Jambon,N-VA,Antwerpen,Nederlands,54,,2014-10-11,,,,,,
Johan Klaps,Johan Klaps,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06593&lactivity=54,,2014-10-11,06593,Klaps Johan,eb.remaked@spalk.nahoj,http://www.johanklaps.be,http://www.lachambre.be/site/wwwroot/images/cv/6593.gif
Nahima Lanjri,Nahima Lanjri,CD&V,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01042&lactivity=54,,,01042,Lanjri Nahima,eb.remaked@irjnal.amihan,http://www.nahima.be,http://www.lachambre.be/site/wwwroot/images/cv/01042.gif
Koen Metsu,Koen Metsu,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06591&lactivity=54,,,06591,Metsu Koen,eb.remaked@ustem.neok,http://www.koenmetsu.be,http://www.lachambre.be/site/wwwroot/images/cv/06591.gif
Jan Penris,Jan Penris,Vlaams Belang,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06183&lactivity=54,,,06183,Penris Jan,eb.remaked@sirnep.naj,http://www.vlaamsbelang.be,http://www.lachambre.be/site/wwwroot/images/cv/06183.gif
Griet Smaers,Griet Smaers,CD&V,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06122&lactivity=54,,,06122,Smaers Griet,eb.remaked@sreams.teirg,http://www.grietsmaers.be,http://www.lachambre.be/site/wwwroot/images/cv/06122.gif
Yoleen Van Camp,Yoleen Van Camp,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06590&lactivity=54,,,06590,Van Camp Yoleen,eb.remaked@pmacnav.neeloy,http://www.yoleenvancamp.be/,http://www.lachambre.be/site/wwwroot/images/cv/06590.gif
Rob Van de Velde,Rob Van de Velde,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01239&lactivity=54,,,01239,Van de Velde Robert,eb.remaked@edlevednav.trebor,"",http://www.lachambre.be/site/wwwroot/images/cv/01239.gif
Jef Van den Bergh,Jef Van den Bergh,CD&V,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01131&lactivity=54,,,01131,Van den Bergh Jef,eb.remaked@hgrebnednav.fej,http://www.jefvandenbergh.be,http://www.lachambre.be/site/wwwroot/images/cv/01131.gif
Dirk Van Mechelen,Dirk Van Mechelen,Open Vld,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00454&lactivity=54,,,00454,Van Mechelen Dirk,eb.remaked@nelehcemnav.krid,http://www.dirkvanmechelen.com,http://www.lachambre.be/site/wwwroot/images/cv/00454.gif
Valerie Van Peel,Valerie Van Peel,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06589&lactivity=54,,,06589,Van Peel Valerie,eb.remaked@leepnav.eirelav,http://www.valerievanpeel.be,http://www.lachambre.be/site/wwwroot/images/cv/06589.gif
Servais Verherstraeten,Servais Verherstraeten,CD&V,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00826&lactivity=54,,,00826,Verherstraeten Servais,eb.remaked@neteartsrehrev.siavres,http://www.servais.verherstraeten.cdenv.be,http://www.lachambre.be/site/wwwroot/images/cv/00826.gif
Annemie Turtelboom,Annemie Turtelboom,Open Vld,Antwerpen,Nederlands,54,,2014-07-25,,,,,,
Frank Wilrycx,Frank Wilrycx,Open Vld,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=04491&lactivity=54,,2014-07-25,04491,Wilrycx Frank,eb.remaked@xcyrliw.knarf,http://www.frankwilrycx.be,http://www.lachambre.be/site/wwwroot/images/cv/04491.gif
Bert Wollants,Bert Wollants,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06147&lactivity=54,,,06147,Wollants Bert,eb.remaked@stnallow.treb,http://www.bertwollants.be,http://www.lachambre.be/site/wwwroot/images/cv/06147.gif
Siegfried Bracke,Siegfried Bracke,N-VA,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06025&lactivity=54,,,06025,Bracke Siegfried,eb.remaked@ekcarb.deirfgeis,http://www.siegfriedbracke.be,http://www.lachambre.be/site/wwwroot/images/cv/06025.gif
Peter Buysrogge,Peter Buysrogge,N-VA,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06030&lactivity=54,,,06030,Buysrogge Peter,eb.remaked@eggorsyub.retep,"",http://www.lachambre.be/site/wwwroot/images/cv/06030.gif
Pieter De Crem,Pieter De Crem,CD&V,Oost-Vlaanderen,Nederlands,54,,2014-10-11,,,,,,
Sarah Claerhout,Sarah Claerhout,CD&V,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06918&lactivity=54,,2014-10-11,06918,Claerhout Sarah,eb.remaked@tuohrealc.haras,"",http://www.lachambre.be/site/wwwroot/images/cv/6918.gif
Peter Dedecker,Peter Dedecker,N-VA,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06027&lactivity=54,,,06027,Dedecker Peter,eb.remaked@rekceded.retep,http://peterdedecker.eu,http://www.lachambre.be/site/wwwroot/images/cv/06027.gif
Christoph D'Haese,Christoph D'Haese,N-VA,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06907&lactivity=54,,,06907,D'Haese Christoph,eb.remaked@eseahd.hpotsirhc,"",http://www.lachambre.be/site/wwwroot/images/cv/06907.gif
Leen Dierick,Leen Dierick,CD&V,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01201&lactivity=54,,,01201,Dierick Leen,eb.remaked@kcireid.neel,"",http://www.lachambre.be/site/wwwroot/images/cv/01201.gif
Alexander De Croo,Alexander De Croo,Open Vld,Oost-Vlaanderen,Nederlands,54,,2014-10-11,,,,,,
Katja Gabriëls,Katja Gabriëls,Open Vld,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06885&lactivity=54,,2014-10-11,06885,Gabriëls Katja,eb.remaked@sleirbag.ajtak,http://www.katjagabriels.be,http://www.lachambre.be/site/wwwroot/images/cv/6885.gif
Egbert Lachaert,Egbert Lachaert,Open Vld,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06884&lactivity=54,,,06884,Lachaert Egbert,eb.remaked@treahcal.trebge,http://www.egbertlachaert.be,http://www.lachambre.be/site/wwwroot/images/cv/06884.gif
Barbara Pas,Barbara Pas,Vlaams Belang,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01236&lactivity=54,,,01236,Pas Barbara,eb.remaked@sap.arabrab,http://www.barbarapas.org,http://www.lachambre.be/site/wwwroot/images/cv/01236.gif
Fatma Pehlivan,Fatma Pehlivan,sp.a,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01002&lactivity=54,,,01002,Pehlivan Fatma,eb.remaked@navilhep.amtaf,"",http://www.lachambre.be/site/wwwroot/images/cv/01002.gif
Sarah Smeyers,Sarah Smeyers,N-VA,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01219&lactivity=54,,,01219,Smeyers Sarah,eb.remaked@sreyems.haras,http://www.sarahsmeyers.be,http://www.lachambre.be/site/wwwroot/images/cv/01219.gif
Ine Somers,Ine Somers,Open Vld,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01284&lactivity=54,,,01284,Somers Ine,eb.remaked@sremos.eni,http://www.inesomers.be,http://www.lachambre.be/site/wwwroot/images/cv/01284.gif
Karin Temmerman,Karin Temmerman,sp.a,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06047&lactivity=54,,,06047,Temmerman Karin,eb.remaked@namremmet.nirak,http://www.karintemmerman.be,http://www.lachambre.be/site/wwwroot/images/cv/06047.gif
Goedele Uyttersprot,Goedele Uyttersprot,N-VA,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=O1388&lactivity=54,,,O1388,Uyttersprot Goedele,eb.remaked@torpsrettyu.eledeog,http://www.goedeleuyttersprot.be,http://www.lachambre.be/site/wwwroot/images/cv/O1388.gif
Carina Van Cauter,Carina Van Cauter,Open Vld,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01230&lactivity=54,,,01230,Van Cauter Carina,eb.remaked@retuacnav.anirac,http://www.carinavancauter.be,http://www.lachambre.be/site/wwwroot/images/cv/01230.gif
Dirk Van der Maelen,Dirk Van der Maelen,sp.a,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00565&lactivity=54,,,00565,Van der Maelen Dirk,eb.remaked@neleamrednav.krid,http://www.dirkvandermaelen.be,http://www.lachambre.be/site/wwwroot/images/cv/00565.gif
Stefaan Van Hecke,Stefaan Van Hecke,Ecolo/Groen,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01227&lactivity=54,,,01227,Van Hecke Stefaan,eb.remaked@ekcehnav.naafets,http://www.stefaanvanhecke.be,http://www.lachambre.be/site/wwwroot/images/cv/01227.gif
Stefaan Vercamer,Stefaan Vercamer,CD&V,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01231&lactivity=54,,,01231,Vercamer Stefaan,eb.remaked@remacrev.naafets,http://www.stefaanvercamer.be,http://www.lachambre.be/site/wwwroot/images/cv/01231.gif
Evita Willaert,Evita Willaert,Ecolo/Groen,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06861&lactivity=54,,,06861,Willaert Evita,eb.remaked@trealliw.ative,http://www.evitawillaert.be,http://www.lachambre.be/site/wwwroot/images/cv/06861.gif
Veli Yüksel,Veli Yüksel,CD&V,Oost-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06022&lactivity=54,,,06022,Yüksel Veli,eb.remaked@leskuy.ilev,http://www.veliyuksel.be,http://www.lachambre.be/site/wwwroot/images/cv/06022.gif
Philippe Blanchart,Philippe Blanchart,PS,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01288&lactivity=54,,,01288,Blanchart Philippe,eb.erbmahcal@trahcnalb.eppilihp,http://www.philblanchart.be,http://www.lachambre.be/site/wwwroot/images/cv/01288.gif
Christian Brotcorne,Christian Brotcorne,cdH,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01094&lactivity=54,,,01094,Brotcorne Christian,eb.erbmahcal@enroctorb.naitsirhc,http://www.brotcorne.be,http://www.lachambre.be/site/wwwroot/images/cv/01094.gif
Olivier Chastel,Olivier Chastel,MR,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00906&lactivity=54,,,00906,Chastel Olivier,eb.erbmahcal@letsahc.reivilo,http://chastel.org,http://www.lachambre.be/site/wwwroot/images/cv/00906.gif
Paul-Olivier Delannois,Paul-Olivier Delannois,PS,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=O1846&lactivity=54,,,O1846,Delannois Paul-Olivier,eb.erbmahcal@sionnaled.luap,"",http://www.lachambre.be/site/wwwroot/images/cv/O1846.gif
Laurent Devin,Laurent Devin,PS,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06325&lactivity=54,,,06325,Devin Laurent,eb.erbmahcal@nived.tnerual,"",http://www.lachambre.be/site/wwwroot/images/cv/6325.gif
Elio Di Rupo,Elio Di Rupo,PS,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00439&lactivity=54,,,00439,Di Rupo Elio,eb.erbmahcal@opurid.oile,"",http://www.lachambre.be/site/wwwroot/images/cv/00439.gif
Denis Ducarme,Denis Ducarme,MR,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01056&lactivity=54,,,01056,Ducarme Denis,eb.erbmahcal@emracud.sined,http://www.denisducarme.net,http://www.lachambre.be/site/wwwroot/images/cv/01056.gif
Jean-Jacques Flahaux,Jean-Jacques Flahaux,MR,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01203&lactivity=54,,,01203,Flahaux Jean-Jacques,eb.erbmahcal@xuahalf.seuqcaj-naej,http://www.flahaux.be,http://www.lachambre.be/site/wwwroot/images/cv/01203.gif
Catherine Fonck,Catherine Fonck,cdH,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01076&lactivity=54,,,01076,Fonck Catherine,eb.erbmahcal@kcnof.enirehtac,"",http://www.lachambre.be/site/wwwroot/images/cv/01076.gif
Benoît Friart,Benoît Friart,MR,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06663&lactivity=54,,,06663,Friart Benoît,eb.erbmahcal@trairf.tioneb,http://www.benoitfriart.be,http://www.lachambre.be/site/wwwroot/images/cv/06663.gif
Eric Massin,Eric Massin,PS,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01050&lactivity=54,,,01050,Massin Eric,eb.erbmahcal@nissam.cire,"",http://www.lachambre.be/site/wwwroot/images/cv/01050.gif
Marie-Christine Marghem,Marie-Christine Marghem,MR,Henegouwen,Frans,54,,2014-10-11,,,,,,
Richard Miller,Richard Miller (politicus),MR,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06664&lactivity=54,,2014-10-11,06664,Miller Richard,eb.erbmahcal@rellim.drahcir,http://millerrichard.be,http://www.lachambre.be/site/wwwroot/images/cv/6664.gif
Jean-Marc Nollet,Jean-Marc Nollet,Ecolo/Groen,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01016&lactivity=54,,,01016,Nollet Jean-Marc,eb.erbmahcal@tellon.cram-naej,http://www.nollet.info,http://www.lachambre.be/site/wwwroot/images/cv/01016.gif
Özlem Özen,Özlem Özen,PS,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06326&lactivity=54,,,06326,Özen Özlem,eb.erbmahcal@nezo.melzo,"",http://www.lachambre.be/site/wwwroot/images/cv/06326.gif
Daniel Senesael,Daniel Senesael,PS,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06682&lactivity=54,,,06682,Senesael Daniel,eb.erbmahcal@leasenes.leinad,http://www.danielsenesael.be,http://www.lachambre.be/site/wwwroot/images/cv/06682.gif
Eric Thiébaut,Eric Thiébaut,PS,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01222&lactivity=54,,,01222,Thiébaut Eric,eb.erbmahcal@tuabeiht.cire,http://www.ericthiebaut.be,http://www.lachambre.be/site/wwwroot/images/cv/01222.gif
Marco Van Hees,Marco Van Hees,PTB-go!,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06701&lactivity=54,,,06701,Van Hees Marco,eb.erbmahcal@seehnav.ocram,"",http://www.lachambre.be/site/wwwroot/images/cv/06701.gif
Fabienne Winckel,Fabienne Winckel,PS,Henegouwen,Frans,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06455&lactivity=54,,,06455,Winckel Fabienne,eb.erbmahcal@lekcniw.enneibaf,"",http://www.lachambre.be/site/wwwroot/images/cv/06455.gif
Hendrik Bogaert,Hendrik Bogaert,CD&V,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01039&lactivity=54,,,01039,Bogaert Hendrik,eb.remaked@treagob.kirdneh,http://www.hendrikbogaert.be,http://www.lachambre.be/site/wwwroot/images/cv/01039.gif
An Capoen,An Capoen,N-VA,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06796&lactivity=54,,,06796,Capoen An,eb.remaked@neopac.na,http://www.ancapoen.be,http://www.lachambre.be/site/wwwroot/images/cv/06796.gif
Koenraad Degroote,Koenraad Degroote,N-VA,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06088&lactivity=54,,,06088,Degroote Koenraad,eb.remaked@etoorged.daarneok,"",http://www.lachambre.be/site/wwwroot/images/cv/06088.gif
Franky Demon,Franky Demon,CD&V,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06805&lactivity=54,,,06805,Demon Franky,eb.remaked@nomed.yknarf,http://www.frankydemon.be,http://www.lachambre.be/site/wwwroot/images/cv/06805.gif
Roel Deseyn,Roel Deseyn,CD&V,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01030&lactivity=54,,,01030,Deseyn Roel,eb.remaked@nyesed.leor,http://www.roeldeseyn.be,http://www.lachambre.be/site/wwwroot/images/cv/01030.gif
Wouter De Vriendt,Wouter De Vriendt,Ecolo/Groen,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01199&lactivity=54,,,01199,De Vriendt Wouter,eb.remaked@tdneirv.ed.retuow,http://www.wouterdevriendt.be,http://www.lachambre.be/site/wwwroot/images/cv/01199.gif
Daphné Dumery,Daphné Dumery,N-VA,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06086&lactivity=54,,,06086,Dumery Daphné,eb.remaked@yremud.enhpad,http://www.daphnedumery.be,http://www.lachambre.be/site/wwwroot/images/cv/06086.gif
Rita Gantois,Rita Gantois,N-VA,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06795&lactivity=54,,,06795,Gantois Rita,eb.remaked@siotnag.atir,"",http://www.lachambre.be/site/wwwroot/images/cv/06795.gif
Sabien Lahaye-Battheu,Sabien Lahaye-Battheu,Open Vld,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01032&lactivity=54,,,01032,Lahaye-Battheu Sabien,eb.remaked@uehttab.neibas,http://www.sabien-lahaye-battheu.be,http://www.lachambre.be/site/wwwroot/images/cv/01032.gif
Nathalie Muylle,Nathalie Muylle,CD&V,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01130&lactivity=54,,,01130,Muylle Nathalie,eb.remaked@ellyum.eilahtan,http://www.nathalie.muylle.cdenv.be,http://www.lachambre.be/site/wwwroot/images/cv/01130.gif
Alain Top,Alain Top,sp.a,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06109&lactivity=54,,,06109,Top Alain,eb.remaked@pot.niala,"",http://www.lachambre.be/site/wwwroot/images/cv/06109.gif
Johan Vande Lanotte,Johan Vande Lanotte,sp.a,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00657&lactivity=54,,,00657,Vande Lanotte Johan,eb.remaked@ettonalednav.nahoj,"",http://www.lachambre.be/site/wwwroot/images/cv/00657.gif
Ann Vanheste,Ann Vanheste,sp.a,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06106&lactivity=54,,,06106,Vanheste Ann,eb.remaked@etsehnav.nna,http://www.annvanheste.be,http://www.lachambre.be/site/wwwroot/images/cv/06106.gif
Vincent Van Quickenborne,Vincent Van Quickenborne,Open Vld,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00972&lactivity=54,,,00972,Van Quickenborne Vincent,eb.remaked@enrobnekciuqnav.tnecniv,http://www.vincentvq.be,http://www.lachambre.be/site/wwwroot/images/cv/00972.gif
Jan Vercammen,Jan Vercammen (politicus),N-VA,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06794&lactivity=54,,,06794,Vercammen Jan,eb.remaked@nemmacrev.naj,http://www.jan-vercammen.be,http://www.lachambre.be/site/wwwroot/images/cv/06794.gif
Brecht Vermeulen,Brecht Vermeulen,N-VA,West-Vlaanderen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06793&lactivity=54,,,06793,Vermeulen Brecht,eb.remaked@neluemrev.thcerb,http://www.brechtvermeulen.be,http://www.lachambre.be/site/wwwroot/images/cv/06793.gif
