id,name,sort_name,image,party,faction,email,area,area_id,term,source
249,Dušanka Majkić,"Majkić, Dušanka",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/dusanka%20majkic.jpg,SNSD,SNSD,dusanka.majkic@parlament.ba,RS 1,ocd-division/country:ba/unit:rs/entity:1,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=249
244,Senad Šepić,"Šepić, Senad",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/senad%20sepic.jpg,SDA,SDA,senad.sepic@parlament.ba,FBiH 1,ocd-division/country:ba/unit:fbih/entity:1,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=244
255,Damir Bećirović,"Bećirović, Damir",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/damir%20becirovic.jpg,Demokratska fronta - Željko Komšić,DF,damir.becirovic@parlament.ba,FBiH 5,ocd-division/country:ba/unit:fbih/entity:5,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=255
265,Mirsad Isaković,"Isaković, Mirsad",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/mirsad%20isakovic.jpg,SBB - Fahrudin Radončić,SBBBiH,mirsad.isakovic@parlament.ba,FBiH 4,ocd-division/country:ba/unit:fbih/entity:4,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=265
251,Milica Marković,"Marković, Milica",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/milica%20markovic.jpg,SNSD,SNSD,milica.markovic@parlament.ba,RS 2,ocd-division/country:ba/unit:rs/entity:2,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=251
264,Fehim Škaljić,"Škaljić, Fehim",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/fehim%20skaljic.jpg,SBB - Fahrudin Radončić,SBBBiH,fehim.skaljic@parlament.ba,FBiH 3,ocd-division/country:ba/unit:fbih/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=264
274,Denis Bećirović,"Bećirović, Denis",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/denis%20becirovic.jpg,SDP BiH,SDPBiH,denis.becirovic@parlament.ba,FBiH 5,ocd-division/country:ba/unit:fbih/entity:5,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=274
246,Nermina Kapetanović,"Kapetanović, Nermina ",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/nermina%20kapetanovic.jpg,SDA,SDA,nermina.kapetanovic@parlament.ba,FBiH 4,ocd-division/country:ba/unit:fbih/entity:4,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=246
239,Šemsudin Mehmedović,"Mehmedović, Šemsudin",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/semsudin%20mehmedovic.jpg,SDA,SDA,semsudin.mehmedovic@parlament.ba,FBiH 4,ocd-division/country:ba/unit:fbih/entity:4,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=239
248,Nikola Špirić,"Špirić, Nikola",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/nikola%20spiric.jpg,SNSD,SNSD,nikola.spiric@parlament.ba,RS 1,ocd-division/country:ba/unit:rs/entity:1,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=248
256,Mensura Beganović,"Beganović, Mensura",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/mensura%20beganovic.jpg,Demokratska fronta - Željko Komšić,DF,mensura.beganovic@parlament.ba,FBiH 4,ocd-division/country:ba/unit:fbih/entity:4,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=256
254,Željko Komšić,"Komšić, Željko",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/zeljko%20komsic.jpg,Demokratska fronta - Željko Komšić,DF,zeljko.komsic@parlament.ba,FBiH 3,ocd-division/country:ba/unit:fbih/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=254
273,Mirsad Mešić,"Mešić, Mirsad",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/mirsad%20mesic.jpg,SDP BiH,SDPBiH,mirsad.mesic@parlament.ba,FBiH 4,ocd-division/country:ba/unit:fbih/entity:4,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=273
270,Monika Tomić,"Tomić, Monika",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/monika%20tomic.jpg,"Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starčević, HSP Herceg-Bosne",HDZ BiH - Hrvatski narodni sabor,monika.tomic@parlament.ba,FBiH 2,ocd-division/country:ba/unit:fbih/entity:2,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=270
260,Borislav Bojić,"Bojić, Borislav ",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/borislav%20bojic.jpg,SDS,SDS,borislav.bojic@parlament.ba,RS 1,ocd-division/country:ba/unit:rs/entity:1,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=260
253,Staša Košarac,"Košarac, Staša ",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/stasa%20kosarac.jpg,SNSD,SNSD,stasa.kosarac@parlament.ba,RS 3,ocd-division/country:ba/unit:rs/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=253
250,Miroslav Milovanović,"Milovanović, Miroslav",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/miroslav%20milovanovic.jpg,SNSD,SNSD,miroslav.milovanovic@parlament.ba,RS 2,ocd-division/country:ba/unit:rs/entity:2,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=250
257,Hanka Vajzović,"Vajzović, Hanka",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/hanka%20vajzovic.jpg,Demokratska fronta - Željko Komšić,DF,hanka.vajzovic@parlament.ba,FBiH 3,ocd-division/country:ba/unit:fbih/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=257
261,Mladen Bosić,"Bosić, Mladen",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/mladen%20bosic.jpg,SDS,SDS,mladen.bosic@parlament.ba,RS 2,ocd-division/country:ba/unit:rs/entity:2,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=261
269,Predrag Kožul,"Kožul, Predrag",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/predrag%20kozul%20za%20web.jpg,"Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starčević, HSP Herceg-Bosne",HDZ BiH - Hrvatski narodni sabor,predrag.kozul@parlament.ba,FBiH 2,ocd-division/country:ba/unit:fbih/entity:2,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=269
278,Momčilo Novaković,"Novaković, Momčilo",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/momcilo%20novakovic.jpg,PDP-NDP,"",momcilo.novakovic@parlament.ba,RS 1,ocd-division/country:ba/unit:rs/entity:1,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=278
279,Jovan Vukovljak,"Vukovljak, Jovan",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/jovan%20vukovljak.jpg,DNS,"",jovan.vukovljak@parlament.ba,RS 2,ocd-division/country:ba/unit:rs/entity:2,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=279
240,Safer Demirović,"Demirović, Safer",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/safer%20demirovic.jpg,SDA,SDA,safer.demirovic@parlament.ba,FBiH 5,ocd-division/country:ba/unit:fbih/entity:5,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=240
259,Đorđo Krčmar,"Krčmar, Đorđo",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/dordo%20krcmar.jpg,SDS,SDS,djordjo.krcmar@parlament.ba,RS 1,ocd-division/country:ba/unit:rs/entity:1,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=259
263,Aleksandra Pandurević,"Pandurević, Aleksandra",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/aleksandra%20pandurevic.jpg,SDS,SDS,aleksandra.pandurevic@parlament.ba,RS 3,ocd-division/country:ba/unit:rs/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=263
275,Diana Zelenika,"Zelenika, Diana",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/diana%20zelenika.jpg,HDZ 1990,HDZ BiH - Hrvatski narodni sabor,diana.zelenika@parlament.ba,FBiH 2,ocd-division/country:ba/unit:fbih/entity:2,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=275
238,Šefik Džaferović,"Džaferović, Šefik",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/sefik%20dzaferovic.jpg,SDA,SDA,sefik.dzaferovic@parlament.ba,FBiH 4,ocd-division/country:ba/unit:fbih/entity:4,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=238
268,Borjana Krišto,"Krišto, Borjana ",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/borjana%20kristo.jpg,"Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starčević, HSP Herceg-Bosne",HDZ BiH - Hrvatski narodni sabor,borjana.kristo@parlament.ba,FBiH 1,ocd-division/country:ba/unit:fbih/entity:1,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=268
252,Lazar Prodanović,"Prodanović, Lazar",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/lazar%20prodanovic.jpg,SNSD,SNSD,lazar.prodanovic@parlament.ba,RS 3,ocd-division/country:ba/unit:rs/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=252
266,Mirsad Đonlagić,"Đonlagić, Mirsad",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/mirsad%20donlagic.jpg,SBB - Fahrudin Radončić,SBBBiH,mirsad.djonlagic@parlament.ba,FBiH 5,ocd-division/country:ba/unit:fbih/entity:5,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=266
262,Nenad Lalić,"Lalić, Nenad",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/nenad%20lalic.jpg,SDS,SDS,nenad.lalic@parlament.ba,RS 2,ocd-division/country:ba/unit:rs/entity:2,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=262
245,Hazim Rančić,"Rančić, Hazim",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/razim%20rancic.jpg,SDA,SDA,hazim.rancic@parlament.ba,FBiH 4,ocd-division/country:ba/unit:fbih/entity:4,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=245
